,-3000,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,total
tigertimesonline.com,0,0,0,0,0,0,0,0,0,0,0,103,168,214,214,212,363,294,503,540,145,3,2759
tcpawprint.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jcsdragontales.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,0,31
thepaladinonline.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tmhspost.com,0,0,0,0,0,0,0,0,0,0,0,0,34,17,17,33,32,96,93,107,56,0,485
thscougarclaw.com,0,0,0,0,0,0,0,0,0,0,0,94,91,115,122,157,186,242,204,145,96,0,1452
chapelhillunleashed.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,85,88,73,32,0,330
vapantherpress.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,139,0,0,216
vehsnews.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,0,37
whsarrow.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,36,83,84,47,0,296
whsgrassburr.com,0,0,0,0,0,0,0,0,0,0,0,0,0,49,112,32,15,60,44,38,29,0,379
whitehousepawprints.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,73,50,20,0,198
theriderchronicle.com,0,0,0,0,0,0,0,0,0,0,44,93,55,101,46,90,99,44,26,44,18,0,660
huskyhowl.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,16,9,0,0,36
wehsblueprint.com,0,0,0,0,0,0,0,0,0,0,0,0,232,176,208,210,210,167,122,116,66,13,1520
ahspress.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,41,0,91
speakingeagle.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,88,57,0,181
fhsnixnews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,77,0,104
herrimantelegraph.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,33,59,18,24,0,152
mountaincrestexpress.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,69,0,126
davishighnews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42,71,99,74,62,353,300,0,1016
huskypawprint.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,532,457,604,323,0,2085
ridgelinehawkeye.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,8,0,74
mvhsvista.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
coltroundup.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,85,54,16,1,232
thespartansentinel.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,167,173,0,351
davincisnotebook.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,46,105,28,1,0,0,1,214
parkcityprospector.us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,40,15,0,67
rhssilverscribe.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,134,65,85,170,99,0,608
theburgergazette.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,112,109,143,131,145,31,0,699
highlandrambler.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,121,88,142,140,81,0,623
eastonialeopards.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,106,83,86,16,0,345
skylinehorizon.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,30,49,0,114
innnews.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6
theredandblack.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,121,82,0,262
jhsdiggernews.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
binghamprospector.org,0,0,0,0,0,0,0,0,0,0,0,0,0,62,121,103,204,155,119,180,70,2,1016
thewarriorledger.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,77,120,68,186,94,0,625
grizzlygrowl.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,95,100,46,0,278
cougarclaw.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,46,78,42,59,16,0,259
tricolortimes.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,121,109,26,0,324
hunterblueprint.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,252,297,1,563
howler.bfuhs.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,48,8,0,83
huhsnewspaper.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,55,0,58,0,0,0,143
vermontacademyvoice.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,131,0,221
bfamercury.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,48,88,42,0,232
thewpwire.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37,79,161,158,58,21,0,542
tjtoday.org,0,0,0,0,0,0,0,0,0,0,0,0,0,240,526,437,337,341,300,321,256,0,2758
vernonvine.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thea-blast.org,0,0,0,0,0,0,0,0,0,0,154,738,742,788,667,332,322,418,499,474,217,4,5355
crossedsabres.org,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,23,101,124,83,105,60,9,514
yorktownsentry.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,150,174,207,143,180,88,0,1058
