,name0,date0,location0,name1,date1,location1,name2,date2,location2,name3,date3,location3,name4,date4,location4,name5,date5,location5,name6,date6,location6
23,Tree of Life synagogue shooting,2018,"[40.443898, -79.921398]",Pennsylvania carwash shooting,2018.0,"[40.052151, -79.389166]",,,,,,,,,,,,,,,
24,Fort Hood massacre,2009,"[31.135557, -97.783664]",Fort Hood shooting 2,2014.0,"[31.141716, -97.777559]",,,,,,,,,,,,,,,
25,Kalamazoo shooting spree,2016,"[42.236689, -85.674795]",,,,,,,,,,,,,,,,,,
26,Wakefield massacre,2000,"[42.500429, -71.075913]",,,,,,,,,,,,,,,,,,
27,Hialeah apartment shooting,2013,"[25.864338, -80.311775]",Fort Lauderdale airport shooting,2017.0,"[26.072751, -80.143382]",,,,,,,,,,,,,,,
28,Santa Fe High School shooting,2018,"[29.392825, -95.141972]",,,,,,,,,,,,,,,,,,
29,Pensacola Naval base shooting,2019,"[30.364707, -87.288567]",,,,,,,,,,,,,,,,,,
30,Dallas police shooting,2016,"[32.7801052, -96.8000082]",,,,,,,,,,,,,,,,,,
31,Excel Industries mass shooting,2016,"[38.135992, -97.425145]",,,,,,,,,,,,,,,,,,
32,Trolley Square shooting,2007,"[40.7606467, -111.89109]",,,,,,,,,,,,,,,,,,
33,Red Lake massacre,2005,"[47.876346, -95.0169401]",,,,,,,,,,,,,,,,,,
34,Waffle House shooting,2018,"[36.052521, -86.616944]",,,,,,,,,,,,,,,,,,
35,Rancho Tehama shooting spree,2017,"[40.018759, -122.393089]",,,,,,,,,,,,,,,,,,
36,Odessa-Midland shooting spree,2019,"[31.925974, -102.2796]",,,,,,,,,,,,,,,,,,
37,Virginia Beach municipal building shooting,2019,"[36.75442, -76.060378]",,,,,,,,,,,,,,,,,,
38,Umpqua Community College shooting,2015,"[43.289538, -123.333193]",,,,,,,,,,,,,,,,,,
39,Virginia Tech massacre,2007,"[37.2295733, -80.4139393]",,,,,,,,,,,,,,,,,,
40,Carthage nursing home shooting,2009,"[35.333434, -79.414592]",,,,,,,,,,,,,,,,,,
41,Westroads Mall shooting,2007,"[41.265719, -96.067495]",,,,,,,,,,,,,,,,,,
42,Baton Rouge police shooting,2016,"[30.433601, -91.081403]",,,,,,,,,,,,,,,,,,
43,Accent Signage Systems shooting,2012,"[44.977425, -93.310408]",,,,,,,,,,,,,,,,,,
